mergesort
Number of elements,Average Time in 10 sorts
10000,0.060056
20000,0.133075
30000,0.215657
40000,0.298971
50000,0.360382
60000,0.439338
70000,0.527439
80000,0.620464
90000,0.711334
100000,0.818594
110000,0.920179
120000,1.012125
130000,1.113255
140000,1.34621
150000,1.329876
160000,1.522126
170000,1.657196
180000,1.721369
190000,1.837557
200000,2.051871
